frame.number,frame.time_epoch,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.analysis.ack_rtt,tcp.len,tcp.analysis.retransmission
"485","1772182364.741201000","192.168.1.3","192.168.1.11","3638","1",,"552",
"535","1772182364.759908000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"634","1772182364.805550000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"803","1772182364.929117000","192.168.1.2","192.168.1.12","3638","1",,"552",
"924","1772182365.348471000","192.168.1.3","192.168.1.11","3638","1",,"552",
"957","1772182365.361879000","192.168.1.1","192.168.1.11","3638","1",,"552",
"1047","1772182365.406568000","192.168.1.1","192.168.1.12","3638","1",,"552",
"1152","1772182365.464909000","192.168.1.2","192.168.1.11","3638","1",,"552",
"1167","1772182365.480551000","192.168.1.11","192.168.1.2","3033","4190",,"104",
"1212","1772182365.515828000","192.168.1.2","192.168.1.12","3638","1",,"552",
"1286","1772182365.929647000","192.168.1.3","192.168.1.11","3638","1",,"552",
"1310","1772182365.940129000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"1432","1772182365.998615000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"1519","1772182366.044783000","192.168.1.2","192.168.1.11","3638","1",,"552",
"1608","1772182366.290911000","192.168.1.2","192.168.1.12","3638","1",,"552",
"1620","1772182366.297946000","192.168.1.12","192.168.1.2","3033","4190",,"104",
"1676","1772182366.523653000","192.168.1.3","192.168.1.11","3638","1",,"552",
"1708","1772182366.532236000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"1712","1772182366.533053000","192.168.1.1","192.168.1.11","3638","1",,"552",
"1808","1772182366.563931000","192.168.1.3","192.168.1.12","3638","1",,"552",
"1865","1772182366.586044000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"2069","1772182367.126009000","192.168.1.1","192.168.1.11","3638","1",,"552",
"2083","1772182367.133667000","192.168.1.3","192.168.1.11","3638","1",,"552",
"2188","1772182367.164232000","192.168.1.1","192.168.1.12","3638","1",,"552",
"2219","1772182367.174879000","192.168.1.12","192.168.1.1","3033","4190",,"104",
"2240","1772182367.184439000","192.168.1.3","192.168.1.12","3638","1",,"552",
"2316","1772182367.414653000","192.168.1.2","192.168.1.11","3638","1",,"552",
"2366","1772182367.450792000","192.168.1.2","192.168.1.12","3638","1",,"552",
"2437","1772182367.698331000","192.168.1.1","192.168.1.11","3638","1",,"552",
"2453","1772182367.705661000","192.168.1.11","192.168.1.1","3033","4190",,"104",
"2515","1772182367.734089000","192.168.1.1","192.168.1.12","3638","1",,"552",
"2522","1772182367.736570000","192.168.1.3","192.168.1.11","3638","1",,"552",
"2540","1772182367.744657000","192.168.1.12","192.168.1.1","3033","4190",,"104",
"2559","1772182367.751890000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"2615","1772182367.783599000","192.168.1.3","192.168.1.12","3638","1",,"552",
"2631","1772182367.793361000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"2690","1772182368.002873000","192.168.1.2","192.168.1.11","3638","1",,"552",
"2756","1772182368.054819000","192.168.1.2","192.168.1.12","3638","1",,"552",
"2769","1772182368.065705000","192.168.1.12","192.168.1.2","3033","4190",,"104",
"2850","1772182368.293055000","192.168.1.11","192.168.1.1","3033","4190",,"104",
"2905","1772182368.311478000","192.168.1.3","192.168.1.11","3638","1",,"552",
"2957","1772182368.328251000","192.168.1.12","192.168.1.1","3033","4190",,"104",
"3020","1772182368.344474000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"3102","1772182368.587622000","192.168.1.2","192.168.1.11","3638","1",,"552",
"3121","1772182368.599579000","192.168.1.11","192.168.1.2","3033","4190",,"104",
"3155","1772182368.627182000","192.168.1.2","192.168.1.12","3638","1",,"552",
"3252","1772182368.868834000","192.168.1.3","192.168.1.11","3638","1",,"552",
"3298","1772182368.886505000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"3422","1772182368.927811000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"3480","1772182369.149500000","192.168.1.2","192.168.1.11","3638","1",,"552",
"3541","1772182369.181575000","192.168.1.2","192.168.1.12","3638","1",,"552",
"3628","1772182369.438970000","192.168.1.1","192.168.1.11","3638","1",,"552",
"3682","1772182369.452141000","192.168.1.3","192.168.1.11","3638","1",,"552",
"3688","1772182369.454954000","192.168.1.11","192.168.1.1","3033","4190",,"104",
"3716","1772182369.461876000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"3782","1772182369.487792000","192.168.1.1","192.168.1.12","3638","1",,"552",
"3795","1772182369.494120000","192.168.1.3","192.168.1.12","3638","1",,"552",
"3832","1772182369.506416000","192.168.1.12","192.168.1.1","3033","4190",,"104",
"3898","1772182369.720937000","192.168.1.2","192.168.1.11","3638","1",,"552",
"3962","1772182369.754564000","192.168.1.2","192.168.1.12","3638","1",,"552",
"4047","1772182370.022214000","192.168.1.1","192.168.1.11","3638","1",,"552",
"4071","1772182370.035810000","192.168.1.3","192.168.1.11","3638","1",,"552",
"4107","1772182370.044302000","192.168.1.11","192.168.1.3","3033","4190",,"104",
"4223","1772182370.077244000","192.168.1.3","192.168.1.12","3638","1",,"552",
"4239","1772182370.086087000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"4302","1772182370.303976000","192.168.1.2","192.168.1.11","3638","1",,"552",
"4372","1772182370.345807000","192.168.1.2","192.168.1.12","3638","1",,"552",
"4431","1772182370.592955000","192.168.1.1","192.168.1.11","3638","1",,"552",
"4463","1772182370.607404000","192.168.1.3","192.168.1.11","3638","1",,"552",
"4590","1772182370.651393000","192.168.1.3","192.168.1.12","3638","1",,"552",
"4692","1772182370.897197000","192.168.1.11","192.168.1.2","3033","4190",,"104",
"4824","1772182371.173955000","192.168.1.3","192.168.1.11","3638","1",,"552",
"4845","1772182371.181277000","192.168.1.1","192.168.1.11","3638","1",,"552",
"4903","1772182371.200459000","192.168.1.11","192.168.1.1","3033","4190",,"104",
"4968","1772182371.221227000","192.168.1.1","192.168.1.12","3638","1",,"552",
"5062","1772182371.468518000","192.168.1.11","192.168.1.2","3033","4190",,"104",
"5106","1772182371.493905000","192.168.1.2","192.168.1.12","3638","1",,"552",
"5129","1772182371.505889000","192.168.1.12","192.168.1.2","3033","4190",,"104",
"5191","1772182371.758192000","192.168.1.1","192.168.1.11","3638","1",,"552",
"5324","1772182371.799359000","192.168.1.12","192.168.1.3","3033","4190",,"104",
"5474","1772182372.064653000","192.168.1.2","192.168.1.12","3638","1",,"552",
"5497","1772182372.076061000","192.168.1.12","192.168.1.2","3033","4190",,"104",
"5624","1772182372.351579000","192.168.1.11","192.168.1.1","3033","4190",,"104",
"5727","1772182372.366282000","192.168.1.3","192.168.1.12","3638","1",,"552",
